Sr_No,Bank,No_of_Transactions,Total_Amount,Active_Customers_Count,Month,Year,Category
2233,THE AHMEDABAD MERCANTILE CO-OP. BANK LTD.,415943,7983016.24,6766,March,2024,Mobile Banking
2234,THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD; AHMEDNAGAR,411041,647478.52,677,March,2024,Mobile Banking
2235,"THE AJARA URBAN CO-OP. BANK LTD., AJARA",1122,33434.32,163,March,2024,Mobile Banking
2236,"THE AKOLA DISTRICT CENTRAL CO-OPERATIVE BANK LTD., AKOLA",59966,18197044.72,14904,March,2024,Mobile Banking
2237,"THE AKOLA JANATA COMMERCIAL CO-OP. BANK LTD., AKOLA",129289,1725371.45,8593,March,2024,Mobile Banking
2238,"The Akola Urban Co-operative Bank Ltd., Akola.",80579,259671.52,1938,March,2024,Mobile Banking
2239,THE AMARAVATI ZILLHA PARISHAD SHIKSHAK SAH. BANK LTD AMRAVATI,25010,107106.67,1095,March,2024,Mobile Banking
2240,THE ANAND MERCANTILE CO.OPERATIVE BANK LTD,13503,163539.24,4209,March,2024,Mobile Banking
2241,THE ANDHRA PRADESH STATE CO-OPERATIVE BANK LTD.,6571,154514.01,1696,March,2024,Mobile Banking
2242,The Annasaheb Savant Co-op. Urban Bank Mahad Ltd.,720,3903.62,181,March,2024,Mobile Banking
2243,THE ASHTA PEOPLES CO-OP BANK LTD ASHTA,39194,86979.06,153,March,2024,Mobile Banking
2244,THE BABASAHEB DESHMUKH SAHAKARI BANK LTD ATPADI,103,1295.22,16,March,2024,Mobile Banking
2245,THE BANASKNATHA MERCANTLE CO-OPERATIVE BANK LTD,52700,3576108.33,3123,March,2024,Mobile Banking
2246,The Bangalore City Co operative Bank Ltd.,1041,10345.18,541,March,2024,Mobile Banking
2247,THE BAPUNAGAR MAHILA CO-OPERATIVE BANK LIMITED,645,33465.92,659,March,2024,Mobile Banking
2248,THE BARDOLI NAGRIK SAHAKARI BANK LTD.,1944,110964.19,222,March,2024,Mobile Banking
2249,"THE BARODA CENTRAL CO-OP BANK LTD., BARODA",1098594,2388893.54,197,March,2024,Mobile Banking
2250,THE BARODA CITY CO.OPERATIVE BANK LTD,2462,127323.94,291,March,2024,Mobile Banking
2251,THE BAVLA NAGRIK SAHKARI BANK LTD,9562,402992.9,994,March,2024,Mobile Banking
2252,THE BELLARY DISTRICT CO-OPERATIVE CENTRAL BANK LTD.,7500,186110.66,7500,March,2024,Mobile Banking
2253,THE BHAGYALAKSHMI MAHILA SAHAKARI BANK LTD.,11409,565028.95,1106,March,2024,Mobile Banking
2254,THE BHAGYODAYA CO-OP. BANK LTD.,6919,709417.56,721,March,2024,Mobile Banking
2255,The Bharuch District Central Co-operative Bank Ltd.,70743,163875.56,1445,March,2024,Mobile Banking
2256,THE BHIWANI CENTRAL COOPERATIVE BANK LTD;BHIWANI,1788,83914.85,1334,March,2024,Mobile Banking
2257,THE BHUJ COMMERCIAL CO OPERATIVE BANK LTD.,6978,658991.87,508,March,2024,Mobile Banking
2258,THE BICHOLIM URBAN CO-OPERATIVE BANK LTD,7071,89412.3,1831,March,2024,Mobile Banking
2259,THE BURDWAN CO-OP BANK,9720,130040.17,15714,March,2024,Mobile Banking
2260,"THE BUSINESS CO OP BANK LTD,NASHIK ROAD",152718,602702.15,3425,March,2024,Mobile Banking
2261,THE CALICUT CO-OPERATIVE URBAN BANK LTD,906,6015.37,244,March,2024,Mobile Banking
2262,THE CENTRAL CO-OPERATIVE BANK LTD. BIKANER,2291,42958.65,383,March,2024,Mobile Banking
2263,THE CHANASMA NAGRIK SAHAKARI BANK LTD,969,59976.14,115,March,2024,Mobile Banking
2264,THE CHANDIGARH STATE COOP BANK LTD,9393,45878.81,245,March,2024,Mobile Banking
2265,The Chandwad Merchants Coop Bank Ltd,3077,100774.02,333,March,2024,Mobile Banking
2266,THE CHERPALCHERI CO OPERATIVE URBAN BANK LTD,96,16,129,March,2024,Mobile Banking
2267,THE CHHAPI NAGRIK SAHAKARI BANK LTD,533,37152.86,80,March,2024,Mobile Banking
2268,THE CHIKHLI URBAN CO-OP. BANK LTD.,67167,1619367.34,10133,March,2024,Mobile Banking
2269,"The Chitradurga Distict Cooperative Central Bank Ltd., Chitradurga",381,29286.71,340,March,2024,Mobile Banking
2270,THE CHITTOOR DISTRICT COOPERATIVE CENTRAL BANK LTD. CHITTOOR AP,3332,85326.98,939,March,2024,Mobile Banking
2271,THE COIMBATORE DISTRICT CENTRAL CO-OPERATIVE BANK LTD.,529,3591.59,179,March,2024,Mobile Banking
2272,"THE COMMERCIAL CO-OP. BANK LTD., KOLHAPUR",2685,42409.14,367,March,2024,Mobile Banking
2273,THE COMMERCIAL CO-OPERATIVE BANK LTD -JAMNAGAR,10016,991867.9,879,March,2024,Mobile Banking
2274,THE CO-OPERATIVE BANK OF MEHSANA LTD.,7725,516124.11,439,March,2024,Mobile Banking
2275,"THE CO-OPERATIVE BANK OF RAJKOT LTD.,RAJKOT",28383,1798032.49,4167,March,2024,Mobile Banking
2276,THE COSMOS CO-OP BANK LIMITED,7916866,17749025.18,218778,March,2024,Mobile Banking
2277,THE CUDDALORE DISTRICT CENTRAL COOPERATIVE BANK LTD.,205,1015.14,127,March,2024,Mobile Banking
2278,THE DAHOD MERCANTILE CO OP BANK LTD,3979,548554.12,411,March,2024,Mobile Banking
2279,"THE DAHOD URBAN CO.-OP. BANK LTD.,DAHOD",7567,1613887.13,2577,March,2024,Mobile Banking
2280,"THE DAVANGERE URBAN CO-OPERATIVE BANK LTD.,",623,44645.97,308,March,2024,Mobile Banking
2281,"THE DAVANGERE-HARIHARA URBAN SAHAKARI BANK NIYAMIT, DAVANGERE",65,1176.42,29,March,2024,Mobile Banking
2282,THE DHANBAD CENTRAL CO-OPERATIVE BANK LTD,24441,45246,28,March,2024,Mobile Banking
2283,THE DHARMAPURI DISTRICT CENTRAL CO-OPERATIVE BANK LTD.,1026,12167.95,509,March,2024,Mobile Banking
2284,"THE DISTRICT CENTRAL CO OPERATIVE BANK LTD.,WARANGAL ",1335,25750.47,2590,March,2024,Mobile Banking
2285,"THE DISTRICT CO-OPERATIVE CENTRAL BANK LTD., VISAKHAPATNAM",1488,49401.08,2611,March,2024,Mobile Banking
2286,"The District Cooperative Central Bank Ltd.,Khammam",269,2585.73,128,March,2024,Mobile Banking
2287,THE DISTRICT CO-OPERATIVE CENTRAL BANK LTD.ELURU,2385,47979.35,4934,March,2024,Mobile Banking
2288,THE EENADU CO-OP. URBAN BANK LTD.,1821,87909.63,279,March,2024,Mobile Banking
2289,THE ERODE DISTRICT CENTRAL CO-OPERATIVE BANK LTD.,54813,100052.54,271,March,2024,Mobile Banking
2290,THE FINANCIAL CO-OPERATIVE BANK LTD.,3975,152965.3,2150,March,2024,Mobile Banking
2291,THE GANDEVI PEOPLE'S CO-OP.BANK LTD,22884,164194.79,326,March,2024,Mobile Banking
2292,The Gandhi Gunj Co-operative Bank Ltd,4635,41086.55,253,March,2024,Mobile Banking
2293,THE GANDHIDHAM CO OPERATIVE BANK LTD,1985,187391.03,318,March,2024,Mobile Banking
2294,THE GANDHIDHAM MERCANTILE CO-OPERATIVE BANK LTD.,5147,269142.86,553,March,2024,Mobile Banking
2295,THE GANDHINAGAR NAGARIK CO-OP. BANK LTD.,24959,122077.29,323,March,2024,Mobile Banking
2296,The Gandhinagar Urban Co Op Bank Ltd.,11068,71257.04,346,March,2024,Mobile Banking
2297,THE GOA URBAN CO-OPERATIVE BANK,912,9468.77,410,March,2024,Mobile Banking
2298,THE GODHRA URBAN CO OP BANK,16015,653250.72,5718,March,2024,Mobile Banking
2299,The Grain Merchant's Co-operative Bank Ltd,60,4972.52,169,March,2024,Mobile Banking
2300,THE GREATER BOMBAY CO-OP BANK LTD,15450,391143.14,4312,March,2024,Mobile Banking
2301,THE GUJARAT STATE CO-OPERATIVE BANK LTD.,567414,1797024.84,3707,March,2024,Mobile Banking
2302,THE GUNTUR CO.OPERATIVE URBAN BANK LTD,294,4349.79,110,March,2024,Mobile Banking
2303,THE GUNTUR DISTRICT CO-OPERATIVE CENTRAL BANK LIMITED,1513,30946.82,2108,March,2024,Mobile Banking
2304,THE HARYANA STATE CO-OPERATIVE APEX BANK LTD.,30435,124380.62,1435,March,2024,Mobile Banking
2305,"THE HASTI CO-OP. BANK LTD., DONDAICHA",463261,1830491.27,1406,March,2024,Mobile Banking
2306,THE HONAVAR URBAN CO-OPERATIV BANK LTD,179,1407.41,56,March,2024,Mobile Banking
2307,THE JAIN SAHAKARI BANK LTD.,1297,21988.47,175,March,2024,Mobile Banking
2308,The Jaipur Central Cooperative Bank Ltd,251,3415.79,43,March,2024,Mobile Banking
2309,THE JALGAON PEOPLES CO-OP BANK LTD. JALGAON,943348,4174678.28,8066,March,2024,Mobile Banking
2310,THE JAMKHANDI URBAN CO-OPERATIVE BANK LTD,31044,51509.61,198,March,2024,Mobile Banking
2311,THE JAMMU & KASHMIR BANK,77287162,212402803.2,1377137,March,2024,Mobile Banking
2312,THE JAMNAGAR PEOPLES CO OP  BANK LTD,1246,143412.08,159,March,2024,Mobile Banking
2313,THE JAMPETA CO-OPERATIVE URBAN BANK LTD,62300,88314.74,202,March,2024,Mobile Banking
2314,THE JHAJJAR CENTRAL COOPERATIVE BANK LTD; JHAJJAR,206,4592.63,255,March,2024,Mobile Banking
2315,THE JIND CENTRAL COOPERATIVE BANK LTD.,992,38167.79,708,March,2024,Mobile Banking
2316,THE JUNAGADH COMMERCIAL CO OPERATIVE BANK LTD,10799,674238.57,965,March,2024,Mobile Banking
2317,THE JUNAGADH JILLA SAHAKARI BANK LTD.,45466,265897.84,2907,March,2024,Mobile Banking
2318,"The Kaira District Central Co.op Bank ltd,",13001,687715.19,17529,March,2024,Mobile Banking
2319,THE KALUPUR COMM. CO OP BANK LTD,2439968,17372538.76,119315,March,2024,Mobile Banking
2320,THE KALYAN JANATA SAHAKARI BANK LTD.,2440991,3503960.83,4192,March,2024,Mobile Banking
2321,"THE KANCHEEPURAM CENTRAL COOPERATIVE BANK LTD.,",634,4665.57,634,March,2024,Mobile Banking
2322,THE KARNATAKA STATE COOPERATIVE APEX BANK LTD.,441699,1108376.04,39800,March,2024,Mobile Banking
2323,THE KARNAVATI CO-OP. BANK LTD.,19110,2352034.33,992,March,2024,Mobile Banking
2324,THE KHATTRI CO-OPERATIVE URBAN BANK LTD,1502,73343.92,188,March,2024,Mobile Banking
2325,THE KODAGU DISTRICT CO-OP CENTRAL BANK LTD.,1656,48049.87,400,March,2024,Mobile Banking
2326,THE KODUNGALLUR TOWN CO OPERATIVE BANK LTD,172,4779.78,172,March,2024,Mobile Banking
2327,"THE KOLAR AND CHIKBALLAPURA DISTRICT CENTRAL COOPERATIVE BANK LTD., KOLAR",564,12313.7,229,March,2024,Mobile Banking
2328,THE KOLHAPUR URBAN CO-OP. BANK LTD.,4693,140783.42,619,March,2024,Mobile Banking
2329,"THE KRANTHI CO-OPERATIVE URBAN BANK LTD.,",67435,170866.37,233,March,2024,Mobile Banking
2330,"THE KRISHNA DISTRICT CO-OPERATIVE CENTRAL BANK LTD.,MACHILIPATNAM",5521,161839.67,2291,March,2024,Mobile Banking
2331,THE KUKARWADA NAGARIK SAHAKARI BANK LTD,12812,1585748.45,3747,March,2024,Mobile Banking
2332,THE KUMBAKONAM CENTRAL COOPERATIVE BANK LTD,97,481.31,55,March,2024,Mobile Banking
2333,The Kurukshetra Central Coop. Bank Ltd; Kurukshetra,363,12241.36,481,March,2024,Mobile Banking
2334,THE LUNAWADA PEOPLE'S CO OP BANK LTD,8170,421157.49,359,March,2024,Mobile Banking
2335,THE MAHARAJA CO-OPERATIVE URBAN BANK LIMITED,854,27518.78,206,March,2024,Mobile Banking
2336,THE MAHARASHTRA MANTRALAYA & ALLIED OFFICES CO-OPERATIVE BANK LTD,3080,50112.89,864,March,2024,Mobile Banking
2337,THE MAHARASHTRA STATE CO-OPERATIVE BANK,16293,208053.73,12922,March,2024,Mobile Banking
2338,THE MALAD SAHAKARI BANK LIMITED,108784,210194.99,636,March,2024,Mobile Banking
2339,THE MALVIYA URBAN COOPERATIVE BANK LTD,80,2178.45,6,March,2024,Mobile Banking
2340,THE MANDVI NAGRIK SAHAKARI BANK LTD.,691,23082.93,118,March,2024,Mobile Banking
2341,THE MANGALORE CATHOLIC CO-OPERATIVE BANK,4408,92504.92,709,March,2024,Mobile Banking
2342,THE MANGALORE CO-OPERATIVE TOWN BANK LTD,362,6454.8,68,March,2024,Mobile Banking
2343,THE MATTANCHERRY SARVAJANIK CO- OP BANK LTD NO 3284,980,4721.88,172,March,2024,Mobile Banking
2344,THE MEGHALAYA CO-OPERATIVE APEX BANK LTD.,13343,256578.74,2825,March,2024,Mobile Banking
2345,THE MEHSANA NAGRIK SAHAKARI BANK LTD,16223,549584.74,518,March,2024,Mobile Banking
2346,THE MODASA NAGARIK SAHAKARI BANK LTD,3438,300509.45,365,March,2024,Mobile Banking
2347,The Mudalagi Co op Bank Ltd.,249,9943.68,135,March,2024,Mobile Banking
2348,"THE MUNICIPAL CO-OPERATIVE BANK LTD., MUMBAI",15652,252176.18,5046,March,2024,Mobile Banking
2349,"THE MUSLIM CO-OPERATIVE BANK LTD., PUNE",428995,1370285.91,1508,March,2024,Mobile Banking
2350,THE MYSORE AND CHAMARAJANAGAR DISTT CO OP CENTRAL BANK LTD MYSURU,1424,30062.97,54,March,2024,Mobile Banking
2351,"THE NALGONDA DIST. CO-OPERATIVE CENTRAL BANK LTD.,NALGONDA",114445,253739.61,5444,March,2024,Mobile Banking
2352,THE NANDED MERCHANTS COOPERATIVE BANK LIMITED,67468,924721.35,4256,March,2024,Mobile Banking
2353,THE NANDURA URBAN CO-OP BANK LIMITED,258990,1005684.64,787,March,2024,Mobile Banking
2354,The Nandurbar Merchant's  Co-op Bank Ltd Nandurbar,500,14397.18,71,March,2024,Mobile Banking
2355,THE NARODA NAGRIK CO-OPERATIVE BANK LTD.,16212,1129438.95,1818,March,2024,Mobile Banking
2356,"THE NASIK MERCHANT'S CO-OP BANK LTD.,NASHIK",348291,2120764.68,3578,March,2024,Mobile Banking
2357,The Nasik Road Deolali Vyapari Sahakari Bank Ltd,7215,175951.56,889,March,2024,Mobile Banking
2358,THE NAVAL DOCKYARD CO-OP BANK LTD.,16259,151663.85,4448,March,2024,Mobile Banking
2359,THE NAVNIRMAN CO OP BANK LTD,29535,3014743.6,2154,March,2024,Mobile Banking
2360,THE NAWANAGAR CO-OPERATIVE BANK LTD.,28549,2772406.08,11908,March,2024,Mobile Banking
2361,THE NILAMBUR CO-OPERATIVE URBAN BANK LTD.,23791,454303.35,3346,March,2024,Mobile Banking
2362,"THE NILGIRIS DISTRICT CENTRAL CO OPERATIVE BANK LTD.,",610,8861.97,194,March,2024,Mobile Banking
2363,THE OTTAPALAM CO OPERATIVE URBAN BANK LTD.,1401,27888,960,March,2024,Mobile Banking
2364,THE PANCHMAHAL DISTRICT CO-OP BANK LTD,20478,1144977.5,10332,March,2024,Mobile Banking
2365,THE PANCHSHEEL MERC. CO. OP. BANK LTD.,1021,8630.01,92,March,2024,Mobile Banking
2366,THE PANIPAT CENTRAL COOPERATIVE BANK LTD,1036,46963.95,751,March,2024,Mobile Banking
2367,THE PANIPAT URBAN CO-OPERAIVE BANK LTD.,91775,4169514.34,4980,March,2024,Mobile Banking
2368,THE PIMPALGAON MERCHANT COOPERATIVE BANK LTD,1030,40505.96,217,March,2024,Mobile Banking
2369,THE PONANI CO-OPERATIVE URBAN BANK LTD,8,52.03,7,March,2024,Mobile Banking
2370,THE PRATAP CO-OP. BANK LTD,1061,19877.32,222,March,2024,Mobile Banking
2371,THE PUDDUKOTTAI DISTRICT CENTRAL COOEPRATIVE BANK LTD,70284,146879.17,35,March,2024,Mobile Banking
2372,THE PUNJAB STATE COOPERATIVE BANK LTD,2781,33746.99,623,March,2024,Mobile Banking
2373,"THE RAILWAY EMP CO-OP BANK LTD., JAIPUR",2028,184473.61,163,March,2024,Mobile Banking
2374,"THE RAIPUR URBAN MERCANTILE CO-OP BANK LTD, RAIPUR (C.G.)",346,14925.77,38,March,2024,Mobile Banking
2375,THE RAJASTHAN STATE CO-OPERATIVE BANK LTD.,22208,82554.69,901,March,2024,Mobile Banking
2376,THE RAJKOT COMMERCIAL CO-OPERATIVE BANK LTD,5015,455966.12,547,March,2024,Mobile Banking
2377,THE RANDER PEOPLES CO OP BANK LTD,494,15112.54,78,March,2024,Mobile Banking
2378,THE RANUJ NAGRIK SAHAKARI BANK LTD,1881,88324.86,591,March,2024,Mobile Banking
2379,"THE RAYAT SEVAK CO-OPERATIVE BANK LTD., SATARA",2259,23739.37,1288,March,2024,Mobile Banking
2380,THE SABARKANTHA DIST. CENTRAL CO-OP BANK LTD.,37799,2293405.62,24543,March,2024,Mobile Banking
2381,THE SALEM DISTRICT CENTRAL CO-OPERATIVE BANK LTD.,430,3118.34,298,March,2024,Mobile Banking
2382,THE SANGAMNER MERCHANTS CO-OP. BANK LTD.,5532,304048.77,625,March,2024,Mobile Banking
2383,THE SANKHEDA NAGARIK SAHAKARI BANK LTD,442,17724.54,56,March,2024,Mobile Banking
2384,THE SANTRAMPUR URBAN CO OP BANK LTD,901,117494.98,378,March,2024,Mobile Banking
2385,THE SARANGPUR CO OP BANK LTD,2379,351075.84,540,March,2024,Mobile Banking
2386,"THE SARDARGUNJ MERCANTILE CO OP BANK LTD,PATAN",1207,114150.59,171,March,2024,Mobile Banking
2387,The sarvodaya sahakari bank ltd modasa,11355,160436.93,928,March,2024,Mobile Banking
2388,"THE SARVODAYA SAHAKARI BANK LTD.,SURAT",17961,1542448.16,4961,March,2024,Mobile Banking
2389,"THE SATARA DCC BANK LTD., SATARA",40065,842905.63,9210,March,2024,Mobile Banking
2390,THE SAURASHTRA CO-OPERATIVE BANK LTD.,38770,333559.65,1696,March,2024,Mobile Banking
2391,THE SHAHADA PEOPLES CO OP BANK LTD SHAHADA,18448,163758.14,295,March,2024,Mobile Banking
2392,THE SHILLONG CO-OPERATIVE URBAN BANK LTD,2795,42495.12,2024,March,2024,Mobile Banking
2393,THE SHIRPUR PEOPLES CO-OP BANK LTD.,8444,77438.3,2479,March,2024,Mobile Banking
2394,THE SIRSI URBAN SAHAKARI BANK LTD,1485,34667.87,251,March,2024,Mobile Banking
2395,THE SONEPAT CENTRAL CO-OP BANK LTD. SONEPAT,644,16798.95,383,March,2024,Mobile Banking
2396,THE SSK CO OPERTIVE BANK LTD,49513,120994.8,52,March,2024,Mobile Banking
2397,THE SULTAN'S BATTERY CO-OPERATIVE URBAN BANK LTD. ,1852,9657.92,3010,March,2024,Mobile Banking
2398,THE SURAT DISTRICT CO-OP BANK LTD.,28137,1466826.83,5685,March,2024,Mobile Banking
2399,THE SURAT MERCANTILE CO OP BANK LTD,7887,575180.41,755,March,2024,Mobile Banking
2400,The Surat people's Co-operative Bank Ltd,838168,23012113.14,873,March,2024,Mobile Banking
2401,THE SUTEX CO-OP BANK LTD,57702,3522157.98,4809,March,2024,Mobile Banking
2402,THE TAMIL NADU INDUSTRIAL CO-OPERATIVE BANK LTD.,1810,12736.11,2249,March,2024,Mobile Banking
2403,THE THANE DISTRICT CENTRAL CO.OP.BANK LTD,21811,281774.32,4886,March,2024,Mobile Banking
2404,THE THANJAVUR CENTRAL CO-OPERATIVE BANK LTD,131,845.56,246,March,2024,Mobile Banking
2405,"THE THOOTHUKUDI DISTRICT CENTRAL COOPERATIVE BANK LIMITED.,",78,517.13,40,March,2024,Mobile Banking
2406,THE TIRUCHIRAPPALLI  DISTRICT CENTRAL CO-OPERATIVE BANK LTD.,619,4206.57,415,March,2024,Mobile Banking
2407,THE UDAIPUR MAHILA SAMRIDHI URBAN CO-OP. BANK LTD.,43857,174644.78,1807,March,2024,Mobile Banking
2408,THE UDAIPUR MAHILA URBAN CO- OP BANK LTD ,80327,184374.51,2377,March,2024,Mobile Banking
2409,THE UDAIPUR URBAN COOPERATIVE BANK LTD.,77762,747989.28,3936,March,2024,Mobile Banking
2410,THE UDUPI CO-OPERATIVE TOWN BANK LTD.,821,11329.78,165,March,2024,Mobile Banking
2411,THE UMRETH URBAN CO-OPERATICE BANK LTD,2641,136088.24,704,March,2024,Mobile Banking
2412,THE UNA PEOPLE'S CO-OP. BANK LTD.,1690,105884.92,445,March,2024,Mobile Banking
2413,THE UNION CO-OP. BANK LTD,35941,553580.7,707,March,2024,Mobile Banking
2414,"THE URBAN CO-OP. BANK LTD., DHARANGAON",138056,168422.35,2514,March,2024,Mobile Banking
2415,THE VAISH COOPERATIVE NEW BANK LTD,142,4027.56,168,March,2024,Mobile Banking
2416,The Vallabh Vidyanagar Commercial Co.operative Bank Ltd,3303,214502.63,458,March,2024,Mobile Banking
2417,"THE VARACHHA CO-OP. BANK LTD., SURAT",93126,6866155.17,12470,March,2024,Mobile Banking
2418,THE VELLORE DISTRICT CENTRAL CO-OPERATIVE BANK LTD.,912,9468.77,410,March,2024,Mobile Banking
2419,THE VERAVAL MERCANTILE CO-OPERATIVE BANK LTD ,13252,1014264.38,1231,March,2024,Mobile Banking
2420,THE VERAVAL PEOPLES CO OP BANK LTD ,13724,775059.36,2710,March,2024,Mobile Banking
2421,THE VIJAY CO-OPERATIVE BANK LTD.,3272,77384.89,521,March,2024,Mobile Banking
2422,"THE VIRUDHUNAGAR DISTRICT CENTRAL COOPERATIVE BANK LTD.,",28,136.86,23,March,2024,Mobile Banking
2423,"THE VISHWESHWAR SAHAKARI BANK LTD., PUNE",771922,1211926.8,1391,March,2024,Mobile Banking
2424,THE WASHIM URBAN CO-OPERATIVE BANK LTD,2157,65931.59,302,March,2024,Mobile Banking
2425,THE WEST BENGAL STATE COOPERATIVE BANK LTD.,4787,52193.92,2928,March,2024,Mobile Banking
2426,THE YAMUNA NAGAR CENTRAL COOPERATIVE BANK LTD.,314,5018.88,290,March,2024,Mobile Banking
2427,THE ZOROASTIAN CO-OPERATIVE BANK LTD,17009,260209.2,2203,March,2024,Mobile Banking
2428,THE NEW URBAN CO-OP. BANK LTD. - RAMPUR,87952,513991.69,2582,March,2024,Mobile Banking
2429,TIRUNELVELI DISTRICT CENTRAL CO-OPERATIVE BANK LTD.,156,1177.61,614,March,2024,Mobile Banking
2430,"TIRUPATI URBAN CO-OP. BANK LTD., NAGPUR",5655,120447.05,1074,March,2024,Mobile Banking
2431,TIRUVANNAMALAI DISTRICT CENTRAL CO-OPERATIVE BANK LTD.,274,2663.4,274,March,2024,Mobile Banking
2432,TJSB SAHAKARI BANK LTD,9141851,12816106.01,12665,March,2024,Mobile Banking
2433,TRIPURA GRAMIN BANK,1858790,2464523.61,2654,March,2024,Mobile Banking
2434,TRIPURA STATE CO-OPERATIVE BANK LTD.,197270,415153.49,15929,March,2024,Mobile Banking
2435,TUMKUR GRAIN MERCHANTS CO-OP. BANK LTD.,5166,285173.09,1176,March,2024,Mobile Banking
2436,U.P. CO-OPERATIVE BANK LTD,92984,147229.72,237,March,2024,Mobile Banking
2437,UCO BANK,161805523,277477919.8,445272,March,2024,Mobile Banking
2438,UJJIVAN SMALL FINANCE BANK LIMITED,36016519,58706445.93,1464430,March,2024,Mobile Banking
2439,UMA CO OPERATIVE BANK LTD.,403,52360.55,358,March,2024,Mobile Banking
2440,UMIYA URBAN CO-OPERATIVE BANK MARYADIT,49,295.87,20,March,2024,Mobile Banking
2441,UNION BANK OF INDIA,874136333,1646615229,22504992,March,2024,Mobile Banking
2442,UNITY SMALL FINANCE BANK LIMITED,102328,578967.39,6289,March,2024,Mobile Banking
2443,UNJHA NAGARIK SAHAKARI BANK LTD.,6486,1191011.71,920,March,2024,Mobile Banking
2444,Urban Cooperative Bank Ltd. Bareilly,99544,283319.02,9083,March,2024,Mobile Banking
2445,UTKARSH SMALL FINANCE BANK,148196,5221720.72,32999,March,2024,Mobile Banking
2446,UTTARAKHAND GRAMIN BANK,91316,1931853.24,1547,March,2024,Mobile Banking
2447,VAISHYA NAGARI SAHA BANK LTD PARBHANI,18257,1618468.05,681,March,2024,Mobile Banking
2448,"VAISHYA SAHAKARI BANK LTD.,MUMBAI",1010,13081.09,182,March,2024,Mobile Banking
2449,"VALMIKI URBAN CO OP BANK LTD.,PATHRI",117405,123082.03,53,March,2024,Mobile Banking
2450,"VALSAD DISTRICT CENTRAL CO-OP BANK LTD., VALSAD",71695,267035.63,484,March,2024,Mobile Banking
2451,VARDHAMAN (MAHILA) CO-OPERATIVE URBAN BANK LTD,37908,99862.09,126,March,2024,Mobile Banking
2452,VASAI JANATA SAHAKARI BANK LTD.,10945,526276.92,9831,March,2024,Mobile Banking
2453,VASAI VIKAS SAHAKARI BANK LTD.,1023000,1999139.22,2409,March,2024,Mobile Banking
2454,VEERASHAIVA SAHAKARI BANK LTD,12963,50252.91,3519,March,2024,Mobile Banking
2455,VIDARBHA MERCHANTS URBAN CO-OP BANK LTD.,19083,1177104.84,129,March,2024,Mobile Banking
2456,VIDYASAGAR CENTRAL COOPERATIVE BANK LTD MIDNAPORE,6221,82382.48,4207,March,2024,Mobile Banking
2457,VIJAY COMMERCIAL CO-OP. BANK LTD. RAJKOT,20030,203288.91,489,March,2024,Mobile Banking
2458,"VIJAYAPURA DCC BANK LTD., VIJAYAPURA",6051,373626.48,1868,March,2024,Mobile Banking
2459,VIKAS SOUHARDA CO-OPERATIVE BANK LTD.,275860,981127.94,8012,March,2024,Mobile Banking
2460,VIKRAMADITYA NAGRIK SAHAKARI BANK,14701,489383.32,646,March,2024,Mobile Banking
2461,"VILAS CO-OPERATIVE BANK LTD.,LATUR.",5278,14129.51,633,March,2024,Mobile Banking
2462,VILLUPURAM DISTRICT CENTRAL COOPERATIVE BANK LTD.,479,7240.2,227,March,2024,Mobile Banking
2463,WANA NAGRIK SAHAKARIBANK LTD HINGANGHAT,210,37907.42,44,March,2024,Mobile Banking
2464,WARANGAL URBAN COOP BANK LTD,73678,192671.49,274,March,2024,Mobile Banking
2465,Wardha Zilla Parishad Employees Urban Cooperative Bank Ltd Wardha,35,122.49,57,March,2024,Mobile Banking
2466,WARDHAMAN URBAN CO-OP BANK LTD.,1600,43322.37,1233,March,2024,Mobile Banking
2467,WOORI BANK,794,45642,539,March,2024,Mobile Banking
2468,YES BANK LIMITED,79366058,212556312.2,494986,March,2024,Mobile Banking
2469,A P MAHESH CO-OP URBAN BANK LTD,12696,457140.1,5329,April,2024,Mobile Banking
2470,"ABHINANDAN URBAN CO-OP BANK LTD., AMRAVATI",10560,156396.34,319,April,2024,Mobile Banking
2471,"ABHINAV SAHAKARI BANK LTD, DOMBIVALI",9746,217719.48,1623,April,2024,Mobile Banking
2472,ABHYUDAYA CO-OP. BANK LTD.,7448133,9949309.11,239775,April,2024,Mobile Banking
2473,"ADARNIYA P D PATILSAHEB SAHAKARI BANK LTD., KARAD",75218,114713.53,2705,April,2024,Mobile Banking
